no.,author,date,rating,review,value_for_money,speed,heating_issues
25,ナルカ,Reviewed in Japan on 4 July 2021,5,i7-4790搭載PCからi7-11700K搭載PCへ 初めての11世代CPUをROG STRIX Z590Fへ搭載しPCを初自作！ 熱を持ちやすいと聞いたので水冷で組んでみましたが 今のところ45℃を超える事が無いので、高負荷作業をする人では無ければ空冷でもいいのかな？ 何もしてなければ現状36℃程です メモリ32GBで処理速度はかなり速く感じます 外箱は傷み等無く購入して良かったと思う商品です,10,10,10
26,GD,Reviewed in Canada on 11 December 2023,5,It works well.  Nice and fast,10,10,10
27,caoimhin500,Reviewed in the United Kingdom on 7 August 2021,5,"While AMD I's dominating at the moment, Intel is still good. Either cpu is going to do you just fine, this 11700k was a bit cheaper. And it's plenty fast enough, easy to install.",10,10,10
28,Chris Lopez,Reviewed in Mexico on 1 March 2023,5,Me preocupo un poco el precio pero el poco tiempo que lo he usado me ha funcionado bastante bien,10,10,10
29,Sylvain Tremblay,Reviewed in Canada on 24 May 2024,5,Bon processeur sans plus qui fait la job,0,0,0
30,Mark,Reviewed in the United Kingdom on 30 October 2021,5,I bought this as a amazon repackaged cpu and works perfect no problems at all love it got a good discount on it too.,10,10,10
31,Rory,Reviewed in the United States on 11 June 2024,5,"As a warning, I have 0-to-no knowledge about computers. I play a lot of PC games and decided with an upgraded GPU I did not want to bottleneck my PC so I upgraded. This CPU was a perfect purchase for me, was the best one I could get along with my 3060 Ti. The installation process was easy (Had to watch a YouTube video for help). After watching the video I knew what to do and it took me 30 seconds. Has treated me right for over 6 months. Would highly recommend it to future buyers.",10,10,10
32,Juan escoto,Reviewed in Mexico on 18 April 2022,5,procesador bueno bonito y a muy buen precio no trae disipador pero si lo que vas a hacer es un upgrade este es el indicado..,10,10,10
33,colby,Reviewed in the United States on 27 June 2024,5,"I haven't had any issues with this cpu yet. It runs great in my computer and packaging showed up fine. Runs at around that 5ghz range, while on my desktop its at 4.5 ghz.",10,10,10
34,Allan Schroeder,Reviewed in Canada on 23 August 2023,5,Excellent CPU. Handles all the latest games my kids play and all the design work I throw at it. Does not overheat but you need to use a quality IO.,10,10,10
35,Rodolfo Martinez,Reviewed in Mexico on 17 December 2021,5,"Muy buen procesador, rápido y funcional; único detalle es que como no trae ventilador, lo instalé comprando por separado un Cooler Master RR 212S 20PK R1 Hyper 212 y quedó perfecto.",10,10,10
36,MJJO,Reviewed in Japan on 10 October 2021,5,スペックと値段の完璧な商品だと思います。,10,10,10
37,Thomas,Reviewed in the United Kingdom on 19 August 2021,5,"Arrived quicker than expected, looks brand new and no damage pins/scratches",10,10,10
38,5spdGD3,Reviewed in the United States on 1 April 2021,5,"the i7 11700K 11th gen sits in between the well reviewed i5 and the poorly priced i9 11900k. I think at this price (I got it at pre-launch sale of $399) it's a good product. It's cheaper than the 5800X, performs very close to it and is a lot more fun to Overclock. Rocket Lake (11th gen) supports specific core overclocks to dial in ratios for the two best cores and other less hot cores. It also can take a tad bit more voltage than skylake++++ (1.45V load voltage supposedly safe according to Reddit AMA) although running at slightly lower all core clocks than comet lake with improved IPC. This actually seems to run slightly cooler for me but power draw can be pretty nuts on stress tests. Gaming load is not bad at all I was seeing around 100w on Horizon Zero Dawn. Unless you want the highest overclocks, the i7 can still get you pretty close or above the stock clocks of the i9 with manual tuning without the price premium and similar real world performance. Coming from the i9-10900k, the gaming FPS is pretty similar at UW 1440p, but rocket lake seems much more stable with overclocking - as in you get watch dog BSOD errors or you don’t - not the WHEA stuff. The RAM gear stuff is a little overblown, the performance penalty of running 1:2 is not as bad as what you see on Ryzen. You can run very high speed ram 4800+ and looser timings and get a ton of performance from these chips. I'm an enthusiast and I've had Ryzen and Intel systems and I just enjoy tuning Intel CPUs. Glad to be one of the first to review this. This came in as same day delivery! Happy overclocking everyone.",9,8,9
39,taketake,Reviewed in Japan on 4 May 2021,5,安定していて、使いやすいです。,10,10,10
40,N.Carter,Reviewed in the United Kingdom on 24 October 2021,5,Beats all i9,0,0,0
41,Amazon Customer,Reviewed in Canada on 10 September 2023,5,I really like to overclock my cpu's as once you find stability you could realize a 10% improvement.  this one went smooth at about 7 %  and has been stable for better than a year with zero hiccups,7,10,10
42,Mehdi,Reviewed in the United States on 6 March 2024,5,Very good processor nothing was wrong and now my pc is stronger,10,10,10
43,Jean-Philippe Charland,Reviewed in Canada on 17 March 2024,5,très satisfait,10,10,10
44,SundayRain,Reviewed in the United States on 29 January 2024,5,happy with my purchase,10,10,10
45,"Anthony W. Ford, Jr.",Reviewed in the United States on 14 April 2021,5,"Rates as UFO on User Benchmark & is a very good CPU. For anyone who might wonder though it is not good for gaming unless you have a dedicated graphics card. So the person who answered my question & said it was great for no video card gaming on 1080p, they lied! Any way I am running it with an RX 560 4GB right now on my UHD 52"" TV on low settings unless video cards come back down to reasonable prices again & it works fine for the games I play. If you do not game or need use of powerful graphics its great for surfing the web, watching videos & streams. Otherwise I advise you find or have a video card if you want to game or what ever.

Great CPU!

Update 04/09/2024 - Currently I run this CPU with 96GB DDR4 3200, RTX 3060 Ti 8GB, 500GB WDBlack M2 as OS Drive, 4TB M2 for Games, 1KW PSU, I have 2x 240CFM fans on it, and 3 others to cool my system none of which I ever need to run about 25% air flow.",10,10,10
46,M. HOLODAY,Reviewed in the United States on 10 September 2021,5,"I know that there a lot of negative reviews for these 11th gen Intel chips but so far, it's just what I needed. My computer was dying. I put this chip on an Asus board and I have had zero problems, other than my old graphics card dying a few weeks later. Intel saved the day. I can't play my full Steam library, but I can use a good 85%. I can do everything else that I normally do without any overheating or slowdowns. Now I can wait for a while to see if graphics cards go on sale. Update(10/18/21) I've been going through my games(450+) and so far I can play them all. To name a few: GRIM DAWN,DIVINITY ORIGINAL SIN, TRIALS OF MANA, and BOOK OF DEMONS. No separate graphics card at all. As far as I'm concerned, this processor is well worth the money. A big thank you to Intel for helping us regular folks beat the scalpers. Let 'em choke on those triple priced cards.",10,10,10
47,Themodder,Reviewed in the United States on 5 April 2021,5,"May 2021 (sometime)- I decided the processor (I don't recommend you do that), it required a oven and a lot of patience. Long story short after delidding and applying liquid metal it dropped my Temps over 10C, I ran it that way for about 6 months before selling it to a friend but he hasn't had any issues yet either April 12, 2021-for some reason my cpu is now shooting up to 100C the moment I do a stress test (within less than 2 seconds) causing it to throttle tremendously. I have changed nothing. I reseated my cooler thinking maybe it had shifted and that still didn't fix it. I am going to check through everything today, maybe something changed in my bios for some reason. If this can't be fixed I'll be sending it back or warrantying it So far so good, I've been able to run this at 5.2Ghz on all cores for quite a while, gets a little warm but nothing that isn't manageable.  Seems like all the 1 star reviews are just people who like to comment on things they don't own.",5,9,7
48,Melinda Clemens,Reviewed in the United States on 5 October 2023,5,"easy to install in my msi motherboard,and good for the money that i spent on it. It works great so far no issues as of yet.",10,10,10
49,LionZx36,Reviewed in the United States on 10 April 2023,5,Great CPU using it as intended by Intel everything is stock so it's running 125 watts  I did use an auto oc at first and it used almost 180 watts and was hotter disabling in my case on my Asus motherboard the Asus performance enhancement my temps under load are 60c!! With enabled it hit in the mid 70s and I didn't notice any difference in performance.. good CPU All core boost is 4.6 Few cores are 5ghz so running as advertised 😍,10,10,10
50,pierre. Québec. Canada,Reviewed in Canada on 5 October 2023,5,J'ai acheté ce processeur car il supporte Pcie 4.0 Achetez avec ce processeur un bon refroidisseur de CPU car lors des mises à jour le CPU montait jusqu'à 90 Celsius. J'ai donc changé mon refroidisseur pour un be quiet dark rock pro 4 sur amazone et maintenant mon cpu intel affiche 31 degré celsius!,0,10,0
51,justin h.,Reviewed in the United States on 9 June 2022,5,"Don't listen to the review on youtube, cus this is a legendary CPU. Before the 11th gen, the 10900K was the fastest gaming CPU in the market. And for Intel to top it, is impressive in itself. CPU if you pair it with the right motherboard and rams you will then see its full potential. I own the 12900K for over 6 months and decided to go back to the 11gen. Even though Alder lake is more powerful, since it is very new, it has way too many drawback and the high latency of rams is the main reason why I decided to sell it. I think Raptor lake would be the CPU but as of now, the 11 gen with a few tweaks will outperform alder lake.",,,
52,G,Reviewed in the United States on 11 April 2023,5,"Great cpu. My computer boots faster than my monitor wakes up. Programs open immediately and run well. The only down side to this cpu is that it eats 125 watts and produces quite a bit of heat. My case exhaust fans make noticeable noise keeping my case cool. Having said that, with proper cooling it is easy to keep the cpu under 70 c (under heavy load mine runs 58-65).",10,10,5
53,RFM,Reviewed in the United States on 8 October 2022,5,"Now with the i9-13900 series coming out this is two steps down from the top of the procesor market. It was just published that the new line was tested to 8.3gh. This line becomes the third choice and the i5's the ""poor cousins"". This processor still computes fine and can be used if you need to save some money or where speed really is not an issue.",10,10,10
54,Sang Kim,Reviewed in the United States on 10 August 2023,5,Works well with my 2080 super. Blazing fast doing work and internet duties. Good value.,10,10,0
55,Nelson R.,Reviewed in the United States on 22 June 2023,5,When you have this beast with the most top hardware of the moment you can see the true power of this processor,0,0,0
56,shane redinger,Reviewed in the United States on 19 July 2023,5,This cpu has been absolutely amazing i have yet to get it to bog down,10,10,10
57,Eddie M.,Reviewed in the United States on 28 March 2023,5,Need to use a water aio at least or your PC will become a oven at times. But it's plenty fast enough for whatever your needs are and the prices have finally started to drop on the 11th gen.,8,8,7
58,Ryan,Reviewed in the United States on 21 May 2021,5,"My first upgrade since generation 4 i5-4670k, it's fantastic. I chose an Asus Z590 Prime, Corsair Capallex 110, RM 650W PSU. A learning curve on overclocking since 2010, I spent equally as much in ram, mobo and cooling but worth every cent. You'll still need graphics if running under GeForce 1000 Series, but my perfermance with a 960Gtx is phenomenal. Its an Intel entusiasts dream, and I agree: ignore the one star reviews. I won't make a Ryzen comparison, other than my title, I do believe AMD is doing less with more changes but just my opinion. Are threads, cores and nanometers winning? I have my doubts. Nonetheless this is Intel back on it's game!",10,10,10
59,Jesse,Reviewed in the United States on 21 May 2021,5,Wonderfully designed CPU.  For those that want low power consumption and low temps just leave it stock. The 3.6 Ghz to 5.0 boost is designed to make this processor the Swiss Army Knife of CPUs. Overclocks to 5.1 all-core easily on the Z590 motherboards. Yes it runs warm but you wanted an excuse to buy that 360mm AIO. Two cores can overclock to 5.2 if desired. Probably could get all 8 pretty close to that with an open loop system. Scores 116-118% on userbenchmarks. I like AMD but they just don't overclock as well. Plus this processor is readily available at retail price. Some of the hate surrounding this offering is extremely misguided.,10,10,10
60,J. Donaldson,Reviewed in the United States on 8 March 2022,5,"When rebuilding my failed desktop computer I had to buy a new motherboard which would not accomodate my previous CPU chip. I researched an  i9 core but it really wasn't faster enough to spend the extra cash on one. This i7 works great. I do mostly photo editing with some video editing. The only ""game"" I run is Microsoft Flight Simulator 2020 which runs at almost the maximum settings.",10,10,10
61,Ahmad M.,Reviewed in the United States on 23 August 2022,5,"Despite the stigma with the 11th Gen CPUs, the performance of the 11700K is definitely worth going for. The only scenario I would say it's not recommended is if the 12600K/12700K is available for a close price, in which case one would have to account for the additional cost with the Z690 motherboards as well as DDR5 if that's the choice.",10,10,10
62,Denise J.,Reviewed in Canada on 19 July 2023,5,"I’m quite happy with this CPU. I’m not a computer person, just built a gaming PC. This arrived fast and was well packaged.",10,10,10
63,Anon,Reviewed in the United States on 26 June 2023,5,Got this discounted and its a great upgrade from my i7-7700.,10,10,10
64,Umma,Reviewed in the United States on 13 June 2023,5,,,,
65,Jun,Reviewed in the United States on 30 July 2023,5,Works as expected,10,10,10
66,Emerson Janetka,Reviewed in the United States on 8 June 2021,5,"Love this cpu. Paired with a Z590 motherboard, the gen 4 support is a must have but this cpu also does not sacrifice any performance as well. This is also paired with an rtx 3070 in my system and I could not be happier. I have it pinged at 5.0 ghz and it has not let me down at all. Definitely have so much more room to overclock if I want too which is nice. This cpu is very stable and I think the best value in terms of price to performance on the intel 11th gen lineup.",10,10,10
67,Edgar,Reviewed in the United States on 7 July 2022,5,"Excelente CPU estaba preocupado, por los comentarios en internet acerca de que calienta mucho, pero casi lo tengo un mes y su temperatura base es de 28°C a 36°C realizando tareas ni tan pesadas ni tan basicas. Nota no lo uso para jugar, ni le he hecho overclock, pero va de maravilla.",10,10,10
68,Miguel Cardenas,Reviewed in the United States on 23 February 2023,5,"Good product, works perfectly in my build and powerful enough, probably more than needed, to do what I want on my pc.",10,10,10
69,Adrian hageland,Reviewed in the United States on 4 May 2022,5,"Transport went okay, I was afraid of a dent in package but cpu was intact without damage it seems. Cpu is plugged in and working.  Giving it a few days to warm up before I want to clock to okay performance. All in all 8/10 stars",8,10,0
70,Brian Chen,Reviewed in the United States on 25 June 2021,5,"When compared to the i9-11900K, this one just provides much more value. The integrated graphics are decent enough for light gaming on games such as League of Legends and provides a nice backup graphics in the event that the GPU fails. I would definitely appreciate more cores on it, but all in all, its a pretty good upgrade from my previous 7th gen Intel PC.",10,10,10
71,Pier,Reviewed in the United States on 16 July 2021,5,"Muy buen procesador, quería esperar a la generación 12 pero seria lo mismo porque después querría esperar a la generación 13 y nunca comprare ninguno, este 11 para los juegos va de lujo por mucho tiempo, le hice una prueba de esfuerzo multi core y la temperatura maximo es de 74 grados, si eres una persona que le gusta jugar recomiendo este cpu.",10,10,10
72,Amazon Customer,Reviewed in the United States on 9 April 2023,5,Kept up on all games,0,0,0
73,Andrew Lokkebo,Reviewed in the United States on 14 July 2021,5,"I bought the 11700k for my gaming rig. With water cooling I’ve got it overclocked to 4.7ghz on all cores. Totally stable and never gets hotter than 60*C. With my 1080 ti it runs all games I’ve played on max settings with a minimum of 80fps at 2k ultrawide, and much higher for most games. Including Cyberpunk and Assassins Creed Valhalla.",9,9,9
74,Jerry,Reviewed in the United States on 19 October 2021,5,"For the price I couldn’t be happier. This CPU is an absolute mammoth for an i7. Just research the specs and order with confidence. I have it cooled with a water pump/heat sync and the temps stay 25-30c during idle and increase to a steady 45-55c during constant loads. Great product, great value.",10,10,10
75,René Beaumont,Reviewed in Canada on 15 December 2022,5,Je suis partie d’un i5 10600k sur ce i7. 11700k pour pouvoir jouer et stream sur un pc très bonne upgrade,10,10,10
76,Sou Lee,Reviewed in the United States on 12 September 2021,5,"8 Cores at this price? These are amazing CPUs without breaking the wallet. These prices used to be the price of quad core CPUs. So if you want the best bang for your bucks and not go with AMD, these are it. OCs well, runs at reasonable temperatures. Excellent processor.",,,
77,Kenji,Reviewed in Canada on 23 March 2023,5,It’s working fine right now will see,10,10,10
78,OverGrownCarrot,Reviewed in the United States on 27 April 2022,5,This is a massive improvement from the i7-8700k. It runs faster and at 20 Celsius lower temperature with a higher overclock. The additional cores make it useful for productivity as well as gaming.,10,10,10
79,Yeshua Sanz,Reviewed in the United States on 2 May 2022,5,"Es un procesador de 8 nucleos el cual cumple en 2022 con diversas tareas, yo lo compre para trabajar autocad, revit, y 3dsMax",10,10,10
80,Andrew Meriwether,Reviewed in the United States on 21 July 2021,5,"Great CPU for all of your work and gaming needs. Processor is one of the top rated for a reason and the 11th Gen paired with M.2 drives is unmistakably the best! If you’re looking for a great CPU that functions quickly, this is it!",10,10,10
81,Jack,Reviewed in the United States on 27 May 2021,5,"Installation was a breeze (my first). I have only had it in place for a month and have not yet been able to get a decent graphics card, but running with an old card for now does not come close to pushing this cpu to it's limits.",10,10,10
82,Travis,Reviewed in the United States on 13 February 2022,5,Quick little chip. Runs a little warm even on a 240mm aio @125 watts. Good value on sale since the 12 series just launched.,9,9,7
83,Danilo,Reviewed in the United States on 3 June 2022,5,Very nice cpu no problem whatsoever whether it's for gaming or your everyday life use,10,10,10
84,Benjamin,Reviewed in the United States on 20 September 2022,5,A very fast response and it's definitely worth it...,10,10,10
85,Amazon Customer,Reviewed in the United States on 5 December 2021,5,"I'll be able to use this for the next 10 years most likely, just like the 3770k I bought 11 years ago and still use today.",10,10,10
86,ERNESTO,Reviewed in the United States on 20 June 2022,5,Todo llego según la compra en tiempo y forma recomendable muchas gracias.,10,10,10
87,MM,Reviewed in the United States on 9 April 2021,5,"Solid single and multi-core gains over previous generation, no regrets after upgrading from 8700k (due to motherboard crash). Wait for alder lake if you have the time, otherwise a good choice. Amd has better stuff at the moment, but they're unavailable and/or sold way overpriced.",10,10,10
88,Johan,Reviewed in the United States on 7 July 2021,5,I have been running this CPU as part of a complete system upgrade and am very happy with its overall performance. The graphics performance and feature set only adds to the value. Great product.,10,10,10
89,Bad Victor,Reviewed in the United States on 15 June 2021,5,I bought it for 360 minus gift card from bank points it was around 310. Single core almost as fast as his littler brother. Multithread appa running amazin around 13000 points on cinebench r23.,10,10,10
90,Kow Kang Nelson Cheaz,Reviewed in the United States on 20 December 2021,5,"This CPU is a beast mode : for gaming, and performance high end computing at at reasonable price.",10,10,10
91,Jason Chappus,Reviewed in Canada on 23 September 2022,5,Good cpu... 👍,,,
92,db,Reviewed in the United States on 13 May 2021,5,The CPU works great.  It is super fast and was quite easy to install.  Highly recommend it.  Would not hesitate in buying again.,10,10,10
93,G. D.,Reviewed in Canada on 2 October 2021,5,"Love this i7-11700K, it is fast. I do not play game but I do rendering on the graphic card.",10,10,10
94,Amazon Customer,Reviewed in the United States on 25 June 2021,5,Haven't been able to test it's max pottential. But it does the job. At least for now it's working better than my i5-8400.,0,0,0
95,Texas Sparky,Reviewed in the United States on 1 August 2021,5,It is replacing a fourth generation I7 CPU. It runs so much faster and no problems installing or running.,10,10,10
96,Amazon Customer,Reviewed in the United States on 19 May 2021,5,I upgraded from an i7 7700k and with the 11700k i average 70-100 fps more playing cold war and warzone. It feels way smoother 10/10,10,10,10
97,Elmir Ismayilzada,Reviewed in the United States on 15 April 2022,5,"Good processor, no problems with it.",10,10,10
98,Jacob,Reviewed in the United States on 20 August 2021,5,"Works well, Over clocking was more of a learn as you go. 10/10 would recommend this CPU though.",10,10,10
99,Darrell Davis,Reviewed in the United States on 8 February 2022,5,Very good it is a power house,10,10,10
100,Antoni777,Reviewed in Canada on 29 September 2021,5,worked like a charm on an Asus Gen11 Motherbaord with extreme options enabled.,10,10,10
101,Nildeepsinh Chauhan,Reviewed in India on 1 August 2021,4,"Processor is awesome, it's value for money. But it's overpriced. It shouldn't be above 37K. Its retail price is less than mentioned.",10,10,10
102,Pseudonym,Reviewed in Germany on 30 December 2021,4,Zufrieden 👌,10,10,10
103,しのっち,Reviewed in Japan on 23 April 2023,4,元々ついていたものがハズレ個体（初期不良対応すぎてからの発覚でした）でしたが、問題が顕著に表れだしたため交換用に手配いたしました。 11700Kと11700 は別物なのでこのあたりがわかりにくかったですな。一旦キャンセルしてしまいましたが問い合わせとか見ていたら目的の商品というのが分かり、再度オーダー入れました。 商品自体は 11700Kのほうが届きましたので、問題ありませんが、商品名のわかりにくさで★4とさせていただきました。,10,10,10
104,JP,Reviewed in the United Kingdom on 21 April 2024,4,"Before buying, I did a lot of research on what would be the best and quietest CPU cooler, as it generates almost two the amount of heat. I have only been using it for two months, but the improvement over a 10th Gen i3 is significant. It is reliable so far. One star has been marked down because the chip is so overpriced. To be fair this is not the fault of Amazon, as all suppliers seem to be overpricing these days when we are on the 14th Gen.",5,10,9
105,Alex Hicks,Reviewed in Canada on 12 July 2021,4,"There's no denying this is a strong processor and if you want to buy something from Intel then this or the 6 core 11600k are the way to go. But if money is a consideration.  Or your power bill.  Or how much you need to spend on cooling.  Or what AMD offers.  Well, you can do better.  The similar AMD 8 core is a bit more expensive but has cheaper motherboards and draws far less power which means a smaller power bill, a smaller power supply and cheaper cooling solutions. So, yes this processor is strong.  I wanted to go Intel and needed a processor right away so that's why I own one.  But I feel like this is an offering to bridge the gap to the next generation.",7,10,6
106,Chris L,Reviewed in the United States on 25 April 2022,4,"...some of the draw backs are basically runs VERY hot even at idle compared to other generations (stays at 40+ C with 24 C ambient temp), but I concede I think I may need to adjust my case fan speeds to get a more aggressively positive pressure airflow in the case. HOWEVER< it barely gets much hotter under full load so perhaps I have tuned fairly well... Value is just OK. It is a bit lower than the 12th gen counterpart, and continually getting a bit cheaper all the time, but it is still close enough in price that if you CAN go with a 12th gen intel build, I would have just gone that route (I was pretty much limited with my choice of mobo, so i could only go as high as 11th gen intel and gen3 m.2). But it has been amazing so far in terms of performance under load, and I see this build carrying me for 4-5 years! I hope.",8,10,7
107,Oscar D.,Reviewed in the United States on 19 May 2023,4,I must say that this might not be a high end cpu but does the job pretty damn fine!,10,10,10
108,daniel howell,Reviewed in the United States on 6 May 2021,4,Great for gaming. Even tho AMD beats it in multi core workloads doesn't mean it's not a good processor. It's a stable reliable processor. And best of all it's in stock. In gaming it trades blows with my ryzen 5800x. So for I haven't run into any bugs or glitches. That's what you get with intel. Stability. If your only gaming I'd say this isn't the way to go. But my wife does do work station application and the extra cores reduce her time. I'd say this is niche processor and very few people would actually benefit from the extra cores. If your just gaming go with a 11600k. My daughter build is running an overclocked 11600k and it trades blows with this one.,9,9,8
109,Austin Yelle,Reviewed in the United States on 30 April 2022,4,"For some reason it wouldn’t allow me to unlock the RAID capability on my motherboard since this model was made to do that. Tested with someone else’s 11700 it raid could be enabled. I wouldn’t buy it here, look elsewhere for it. It’s too expensive to risk something like this.",,,
110,Apes_Vs_Grapes,Reviewed in the United States on 3 February 2022,4,If you have a lga1200 platform this is my recommendation for a high performance gaming cpu. The 11th gen i9 is essentially just a binned and more expensive version of this. Otherwise you can go 10900K for slightly lower single core performance but more physical cores.,10,10,10
111,ToddG,Reviewed in Canada on 19 May 2022,4,"Recently upgraded from the Intel i5 9600k, which was starting to bottleneck when playing newer games. What a huge difference! Love this processor.",10,10,10
112,Ronald Scavello,Reviewed in the United States on 4 June 2021,4,"I watched a lot of reviews on this chip and they all say it’s trash! I mean, maybe some older gen chips work just as well and are cheaper but I’m averaging 4.9 to 5 GHz while playing warzone.",10,10,10
113,Erik,Reviewed in the United States on 28 February 2022,4,Be sure you have adequate cooling if you plan on over clocking. Nuf said.,10,10,0
114,Ed McKenzie,Reviewed in the United States on 14 March 2022,4,Good CPU for general desktop use.,10,10,10
115,Dags,Reviewed in the United States on 6 March 2022,4,Works exactly as I expected.,10,10,10
116,Art,Reviewed in the United States on 13 June 2021,4,Better than the i9 11900k,0,0,0
117,にゃんこ,Reviewed in Japan on 15 August 2022,3,これ買うなら12世代の下位のCPUのほうが性能上で安いですよ。,0,0,0
118,PC Scooter.,Reviewed in the United States on 16 November 2023,3,"Like the product, system is half together. I have 3 others to put together.",0,0,0
