No,Author,Date,Rating,Review,,,,,
23,Amazon Customer,Reviewed in the United Kingdom on 8 January 2024,5,"I knew there was two versions of the i5-13400f based on Alder and Raptor. But the Raptor was as rare as hens teeth in retail, supposedly kept for the OEM market and for slightly more power and without a boxed cooler. Well what did I get? The Raptor around 5% quicker than Alder, anything quicker in pc gaming is a plus. LolYou can also recognize Stepping B0 (Raptor Lake) in a better catalog by the S-Spec code, which is SRMBG. It differs from Stepping C0 (Alder Lake, S-Spec code SRMBN) in the last letter of the designation – “G” instead of “N” Check the CPU die as per my picture. It also shipped with the Laminar RM1 cooler on my MSI MAG Tomahawk WIFI DDR5. Happy days! Check the net for more tech by inputting the two spec codes above. I’m playing Cyberpunk 2077 and an RTX 4060 TI at 1440P everything on ultra using Super DLSS and getting near 100FPS. Bearing in mind it’s both CPU and GPU intensive. Superb processor!",,,,,
24,Rico,Reviewed in France on 18 May 2024,5,très bien comme processeur,,,,,
25,3316478467,Reviewed in Italy on 4 January 2024,5,Abbinata ad una scheda video gtx 3060 ti il processore a massima risoluzione nei giochi non va oltre e il 40 percento. Sembra strano ma risponde perfettamente al gaming.Non c'è bisogno di andare sui i7 o i9. Per giocare basta e avanza il i5 13400Da sempre amd . oggi Intel. Penso sia migliore. Almeno fino ad ora. In estate vedremo se e quanto riscalda,,,,,
26,Omar,Reviewed in the United Kingdom on 11 June 2023,5,"I was looking to upgrade my 10 year old Dell system to make it compatible with Windows.This CPU stood out as it had a lot of cores, good speed specification and without the on board GPU it was a good price.The supplied Intel cooling fan is very good, overall a good purchase.",,,,,
27,Armando Luis Nogueira Naveira,Reviewed in Spain on 9 May 2024,5,Como esperaba,,,,,
28,Viktor Nickel,Reviewed in Germany on 5 April 2024,5,Optimale Preis-/Leistung-Verhältnis!,,,,,
29,Pedro,Reviewed in Brazil on 16 February 2024,5,"Processador muito bom,o único problema é a temperatura,vai precisar de um sistema de refrigeração mais robusto",,,,,
30,Freddie Taylor,Reviewed in the United Kingdom on 3 December 2023,5,Bought it as an upgrade from my last and it has been perfect so far.,,,,,
31,Lo,Reviewed in Germany on 22 April 2024,5,"Very happy, I upgrade from an i5 9th gen 9600KF, night and day on some game !Very chill in temp with my arctis freezer II 280mm, 40-50° in game",,,,,
32,Renato Marcelo Marques,Reviewed in Brazil on 21 December 2023,5,Muito bom desempenho e a entrega foi feita dentro do prazo ! Tudo perfeito!,,,,,
33,Juan Manuel Dominguez Barrera,Reviewed in Spain on 13 August 2023,5,Buena potencia y se calienta poco.,,,,,
34,Luigi,Reviewed in Italy on 5 May 2024,5,Ottimo articolo.,,,,,
35,Jonas Andrä,Reviewed in Germany on 2 June 2023,5,"Für das Geld hat dieser Prozessor eine super Leistung und ist damit Amd etwas voraus. Er taktet sich selbstständig hoch und runter, wie es gerade passt. Er hat keine Onboard Grafik, aber das sollte man wissen, wenn man sich für diese CPU entscheidet.Die CPU ist immer, selbst bei Volllast, recht kühl.Eine echte Empfehlun.",,,,,
36,Léo,Reviewed in France on 23 December 2023,5,Ce n'est pas le meilleur rapport performances prix mais le processeur reste très bon pour faire tourner n'importe quel jeu en 1440p ultra à 165 hz (pour mon cas)Je le conseille fortement car c'est un des meilleurs en milieu de gamme,,,,,
37,H&G,Reviewed in the United Kingdom on 4 April 2024,5,a good gaming cpu,,,,,
38,Renato Sabino da Silva,Reviewed in Brazil on 15 November 2023,5,PRODUTO DE ACORDO COM MINHAS EXPECTATIVA,,,,,
39,Pablo,Reviewed in Spain on 4 December 2023,5,"Lo he montado con una 4070 y va perfecto, la mejor compra de componentes que he hecho",,,,,
40,PC GUY,Reviewed in the United Kingdom on 6 January 2024,5,Would recommend this cpu to anyone it is so quick doesn't break a sweat !,,,,,
41,P57,Reviewed in Germany on 7 October 2023,5,Die CPU ist sehr gut und sehr empfehlenswert mit einer RTX 3060ti,,,,,
42,Leandri Corrado,Reviewed in Italy on 17 March 2024,5,ottimo venditore ed ottimo prodotto,,,,,
43,Luis Garcia Sanchez,Reviewed in Spain on 1 May 2023,5,Procesador de Intel. De lo mejorcito para todo. En juegos va de fábula.,,,,,
44,Amazon Kunde,Reviewed in Germany on 23 December 2023,5,Top cpu alles ok,,,,,
45,dekindt christophe,Reviewed in France on 2 January 2024,5,"Le produit me convient énormément, je l’ai eu au bout de 2 jours et très bien emballé.",,,,,
46,Jacopo,Reviewed in Italy on 14 March 2023,5,"Cercavo un processore potente e allo stesso tempo non troppo costoso e la mia scelta è ricaduta su questo. Inutile dire che va una meraviglia, ottimo sia per gaming che per lavori abbastanza pesanti. Ho tenuto per una scelta pratica il suo dissipatore originale e in full load non supera mai i 70 gradi. L’ho abbinato ad una B660 della Gigabyte e 32GB di ram a 3600MHz e non posso che essere soddisfatto!",,,,,
47,Produto muito lindo e de qualidade,Reviewed in Brazil on 3 November 2023,5,Produto excelente. Cumpre o que promete,,,,,
48,Daniel,Reviewed in Italy on 6 February 2024,5,Articolo danneggiato si può avere il reso grazie,,,,,
49,D. RAWLINGS,Reviewed in the United Kingdom on 14 January 2024,5,Good,,,,,
50,marco,Reviewed in Italy on 11 November 2023,5,"Ottimo acquisto, consigliato in questo periodo considerato che costa 50€ in meno rispetto a quando lo acquistai io . A livello qualitativo lo consiglio sicuramente ha prestazioni ottime per il mio computer da media alta fascia. ...",,,,,
51,Metche,Reviewed in France on 25 November 2023,5,"installer sur ma config de gamer, il répond bien , associé à une bonne carte graphique , il vous permettra d'avoir un ordinateur puissant pour pouvoir jouer pendant des heures",,,,,
52,Angela,Reviewed in Italy on 9 December 2023,5,Tutto ok ..consegna e funzionamento soddisfata,,,,,
53,James Brooks,Reviewed in the United Kingdom on 14 February 2023,5,10 cores for £200! I have this running with a 3070ti with zero processor bottle neck.Check your motherboards bios before installing though as it will need to be on the latest to run the new 13th gen processors. I found that out the hard way because I bought a new motherboard at the same time and had to borrow a 12th gen processor to be able to update the bios! All good now though running 10/10 and future proof.,,,,,
54,marco,Reviewed in Italy on 29 November 2023,5,Tutto benissimo. Processore ottimo e tempi di consegna perfetti,,,,,
55,COMA,Reviewed in France on 18 December 2023,5,"livré rapidement, avec un ventirad d origine nickel",,,,,
56,Gilson,Reviewed in Brazil on 2 November 2023,5,Produto muito bom chegou rapido,,,,,
57,sean,Reviewed in the United Kingdom on 15 July 2023,5,"much better than equivalent 12th gen, more cores , more power",,,,,
58,douglas,Reviewed in Brazil on 4 September 2023,5,"O pedido chegou bem rápido e o produto é exatamente como eu esperava, super satisfeito, recomendo",,,,,
59,Liam Armitage,Reviewed in the United Kingdom on 2 February 2023,5,I recently upgraded from the i5-8400 and this CPU was definitely worth it. My overall performance on my rig has increased with more smoother outputs and no stuttering at all on games I play.Easy to install and 100% worth it.,,,,,
60,Oleh,Reviewed in Italy on 10 September 2023,5,"Se non hai troppe esigenze, e ottimo.",,,,,
61,Xtwelve,Reviewed in Italy on 26 April 2023,5,"Non sono un esperto, ma cercavo un processore che mi permettesse di giocare e lavorare resistendo alla prova del tempo. Ebbene finora tutto alla grande, i benchmark risultano pure con un punteggio alto quindi A-OK",,,,,
62,Steven Miller,Reviewed in the United Kingdom on 9 March 2023,5,"So far so good only had it installed for 3 days but working very well, and I chose not to pay the £10 delivery and it was still sent out with DPD",,,,,
63,Michele,Reviewed in Italy on 17 September 2023,5,Ottimo prodotto,,,,,
64,Tania Marques,Reviewed in Brazil on 19 September 2023,5,Entrega no prazo. Funcionando perfeitamente.,,,,,
65,BüroMobil e.K.,Reviewed in Germany on 8 July 2023,5,"Leistet ziemlich überall eine Top Performance, einfache Installation",,,,,
66,Carlos Melo,Reviewed in Brazil on 25 September 2023,5,Me surpreendi…,,,,,
67,cyril,Reviewed in France on 1 September 2023,5,I get what I expected !Perfect Delivery !,,,,,
68,Roberto,Reviewed in Italy on 24 May 2023,5,"Servizio a pari di Amazon, comprare venduto da Amazon o da loro è uguale, forse meglio loro",,,,,
69,Mahé,Reviewed in France on 30 April 2024,4,Bon processeur pour gaming et bureautique,,,,,
70,Toto,Reviewed in Italy on 10 June 2023,4,"Ho deciso di rimanere su Intel sebbene AMD proponeva dei buoni prodotti. Fra le diverse varianti ho optato per la 13th gen e fino ad ora non sono rimasto deluso. Ottimo TDP e pienamente sufficiente per le mie necessità. I dati dello screen sono presi con utilizzo blando (browser, discord, steam e un gioco molto semplice quasi da cellulare (fallout shelter).Occhio ad eventuali colli di bottiglia nell'accoppiamento con una GPU (che non ho ancora preso).Già con una 4070 siamo leggermente sotto",,,,,
71,JEFFERSON DE SOUZA,Reviewed in Brazil on 1 August 2023,4,"O produto chegou tudo ok e funcionando perfeitamente, o preço estava ótimo, porém existem algumas ressalvas: o produto chegou com a caixa bem amassada (pode ter um maior cuidado na embalagem e transporte) e a entrega além de demorada atrasou 2 dias.",,,,,
72,GS Gamers Madz Pcs,Reviewed in the United Kingdom on 8 August 2023,4,It’s not a bad cpu at all for the price and works great for gaming.Yes there are better but more money,,,,,
73,LAURENT JEANPIERRE,Reviewed in France on 30 May 2023,4,"Excellent processeur, 10 coeurs dont 4 économiques.Mon seul regret est que Windows gère aussi mal ses ressources, et réveille tour à tour tous les coeurs (ou presque) quand on ne fait rien que regarder les performances...)Grille de notation : note de style ??? Qu'est-on censé noter ici ? la couleur du processeur ?",,,,,
74,LORENZO LAZZARI,Reviewed in Italy on 23 October 2023,3,"ho comprato un paio di giorno fa questo articolo, vado per assemblare il pc apro e vedo la ventola rotta, ho scritto al venditore ma mi han scritto che gli uffici erano chiusi, ho riscritto e ancora niente, quindi ho deciso di fare la recensione",,,,,
75,"Detta känns inte som en ny produkt när den packades upp ur leveranslådan, dem är uppenbarligen uppackad förr ev refurbished?",Reviewed in Sweden on 8 December 2023,2,[object Object],,,,,
76,J santi,Reviewed in Spain on 11 June 2023,2,"lo compre por el precio, si hubiera podido, me hubiera comprado el 13600k",,,,,
77,.,Reviewed in the United Kingdom on 6 February 2024,2,"I like intel CPU's and I know this one is good value for money. However, the internal box came damaged while the main amazon box was fine, meaning Amazon packed an already damaged product",,,,,
78,Cliente Amazon,Reviewed in Italy on 5 March 2023,2,"Arrivato oltre i giorni di consegna, non imballato, ma su una bustina, infatti la scatola aveva gli spigoli ammacccati, non ho fatto reso perché era l'ultimo pezzo che mi mancava per il pc, e fortunatamente funzionante! Almeno pr ora",,,,,
79,Jeffrey,Reviewed in the Netherlands on 29 April 2023,1,"This is my first bad experience with the i5 x400F series. Tried it on a fairly decent MSI Z790 Tomahawk motherboard.I tried the i5 8400, 10400F, 11400F and now this 13400F, and this is the first one that dissapoints.The turboboost behavior is not what I'm used to. I do not recommend this one. The performance overall is better then the older ones ofcourse, but the powerlimits and frequencies are all over the place, and not how it should be on paper. Max turbo power should be 143Watts and all core turbo 4.1GHz . My sample's All core turbo didn't go above 3.9GHz and the power draw didn't went above 80 watts. and that's lower then previous gens. Therefore it's underperforming. Weird behavior on this chip. Returned it.",,,,,
80,Hussein C.,Reviewed in France on 22 June 2024,1,Bonsoir le colis à été livré sans le processeur à l'intérieur faites très attention .,,,,,
81,matic,Reviewed in Germany on 9 June 2024,1,"I ( also, I am NOT THE ONLY commenter in this case ) received only a FAN in my order, DONT BUY IT",,,,,
82,andrea,Reviewed in Italy on 13 April 2024,1,"Comprato usato come nuovo, c'era solo la scatola danneggiata, in poche parole e arrivato solo il dissipatore ma la CPU mancava, oltretutto la ventola del dissipatore era rotta, non so se è partita così o se è stata la delicatezza del postino nel lanciare il pacchetto al momento della consegna, ho restituito il prodotto subito...",,,,,
83,hugo.b,Reviewed in France on 13 June 2024,1,Un ventirad reçu mais le processeur lui n’était pas là je demande le remboursement,,,,,
84,Chloé Vghe,Reviewed in France on 11 June 2024,1,"n'achetez pas, appart si vous voulez recevoir une boite avec juste un ventirad.",,,,,
85,Luiz Gustavo Kiill Porto,Reviewed in the United Kingdom on 7 December 2023,1,The media could not be loaded.I received my box today with a delay of almost a week and as if that wasn't enough the box arrived all damaged and opened,,,,,
86,Axel,Reviewed in France on 9 December 2023,1,"Vendredi 8 décembre 2023 je reçois mon colis.la boite du possesseurs ouvert avec seulement le dissipateur thermique et sans possesseurs,pour info le carton de livraison lui été pas ouvert seulement la boite du possesseurs été ouvert",,,,,
87,markus wagner,Reviewed in Germany on 14 January 2024,1,Nix,,,,,
88,jb1421,Reviewed in France on 7 December 2023,1,"Heureux de recevoir mon article, la boîte du processeur est arrivée dans un état très moyen et ouverte.Évidemment le processeur n’est plus dans la boîte…Quelle déception",,,,,
89,Rodrigo,Reviewed in Italy on 28 November 2023,1,Se potessi dare 0 stelle le darei,,,,,
90,Ascas jérémy,Reviewed in Germany on 5 April 2023,1,same as my gpu and motherboard all box damaged.,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
