No,Author,Date,Rating,Review,,
39,MKP,Reviewed in the United States on 22 August 2023,5,I bought this based on performance to price for my second PC. I was going to use a 10000 series CPU but discovered that using the 11400 utiilizes the features on my motherboard better. This one works very well with my motherboard.,,
40,Rain,Reviewed in the United States on 12 December 2023,5,Very good,,
41,Arch,Reviewed in the United States on 13 May 2022,5,"I have been using my 11400F for a few months now and I couldn't be happier with it, it's not a top of the line processor when compared to others of the same generation or the competition but for $150 Intel came in clutch with a great value for money to all budget gamers.I haven't yet found a game where this processor struggles or bottlenecks my graphics card and for daily usage/keeping things opened in the background it is literally a king. If you are upgrading from an older generation intel it will blow your mind how much faster processors have gotten over the years!All in all, I am happy with my purchase and will have this bad boy last me for a while.",,
42,Edgar Andres Angrino Lafaux,Reviewed in the United States on 25 July 2023,5,"I had my doubts, I saw reviews, technical specifications, game tests and performance, but things are different when you have it in your hand, I assembled my computer with this processor and I can say that it was a good choice.",,
43,Miguel,Reviewed in the United States on 10 November 2023,5,100%,,
44,T,Reviewed in the United States on 15 July 2023,5,This CPU is 11th generation Intel 1200 LGA. It is very fast. I upgraded from an LGA 1155. So I am very happy with my purchase. No issues regarding this CPU.,,
45,Carl Balderas,Reviewed in the United States on 3 August 2023,5,Enough compute power to run games & basic tasks without bottlenecks. Great entry level cpu.,,
46,David D.,Reviewed in the United States on 23 August 2023,5,Aunque tengo que comprar otro disipador vale la pena total,,
47,Panchanon Chullasoponsri,Reviewed in the United States on 9 July 2023,5,Can run all the game with out lagging and reach 240 FPS,,
48,byron P.,Reviewed in the United States on 27 April 2023,5,"Don’t let marketers fool you, you don’t need more than 6 cores for gaming. If you want more, cool, but don’t listen to those who act like it’s needed.",,
49,casey walls,Reviewed in the United States on 6 November 2022,5,I love this lil cpu. the only thing that suck aparently theres a promo for a free copy of call of duty mw2 2022 release but amazon order does not qualify . what Am i supposed to go to best buy and by my cpu there in order to get the intel game promo?????????,,
50,Josh,Reviewed in the United States on 9 November 2022,5,"Got this as a Amazon Prime Deal for the wife as an upgrade, great performance per dollar, great benchmark scores, she plays her games much smoother now. Love Intel CPUs for their hassle-free experience. Paired with an ASUS Tuf B560 motherboard, 16GB DDR4 3200MT/s C14, and RX 570 4GB. Great midrange build.",,
51,Retuculi,Reviewed in the United States on 28 March 2022,5,"I wanted to update my computer system to the new Win 11 platform. All other components were already updated, except my TPM chip was ver. 1.0 switch had to be replaced. The big problem was the CPU. After taking a chance and selecting one from the CPU requirement list, I chose the i5. WOW, now I don't have a fast system, I have a supper fast system. I love it.",,
52,Daisy,Reviewed in the United States on 6 May 2023,5,Easy to install and yeah. For my first pc build it works perfectly fine. Gaming is smooth with it.,,
53,Johan S.,Reviewed in the United States on 9 August 2023,5,Excelente funcionamiento,,
54,Miguel Sanchez,Reviewed in the United States on 2 September 2022,5,"Maybe the Intel I3 CPUs will be a thing of the past but going from a I5 4570 to this I5 11400f has been nice.Paired with a solid Z590 board, 32gb of DDR4 ram, and a GTX 1070ti I'm certainly happy. Six core CPUs are here to stay.",,
55,Dante,Reviewed in the United States on 19 April 2023,5,"Funciona con total normalidad, muy buen rendimiento, un poquito raspado el ventilador, nada grave todo bien.",,
56,Greyman,Reviewed in the United States on 17 June 2023,5,Works well with rx 6600 xt.,,
57,Luis Félix Martínez Francisco,Reviewed in the United States on 14 May 2023,5,"Come earlier than expect, the performance is great, great buy",,
58,Sebastian Bocachica,Reviewed in the United States on 1 June 2023,5,Comprado de segunda mano,,
59,Aleksandra Rubini,Reviewed in the United States on 7 August 2022,5,"You will defiantly get what you paid for. Might not be able to carry some of the AAA titles but performs quite well in most of the games i play such as dota 2, poe, elden ring etc.",,
60,Luis Alarcon,Reviewed in the United States on 16 January 2023,5,De una es mejor irse por esto en vez del i3. Los precios ya están más bajos que antes así que mínimo este 6 núcleos.,,
61,Carlos,Reviewed in the United States on 30 January 2023,5,"Buena experiencia el envío, llegó rápido, el procesador cumple mis necesidades y el precio está acordé a las prestaciones que ofrece.",,
62,Kayla,Reviewed in the United States on 21 February 2023,5,My son is building his own computer I bought this for his birthday. He loved it,,
63,JB.GOAD,Reviewed in the United States on 17 July 2022,5,"This was the CPU I chose for my first build, and it’s great! I waited 2 weeks to write a review cause I was case swapping, I must say, it’s easy to swap as well!",,
64,Andres,Reviewed in the United States on 16 June 2022,5,"Muy bien procesador tanto para jugar como multitarea, lo único que recomiendo que no usen el dicipador de stock si van a estresar el CPU les recomiendo que compre algo descendente cómo un hyper 212 o noctua",,
65,Jose,Reviewed in the United States on 6 January 2023,5,"Por ahora no necesitó nada mas ni menos, super contento de montar mi primer PC",,
66,Stan,Reviewed in the United States on 20 April 2023,5,Works great,,
67,Julian Barona,Reviewed in the United States on 11 June 2022,5,"Trabaja excelente en juegos, por su bajo consumo no requiere doble conexión de la fuente de alimentación en la board, tener en cuenta no tiene gráficos integrados, recomendado bajo consumo, buena potencia.",,
68,Leonardo Carvajalino,Reviewed in the United States on 14 July 2021,5,"Great price to performance CPU, at 175 USD (I would not recommend to pay more than that). It runs a bit hot, especially with no power limits. I have a Noctua NH-U14S and get temps around 40C (idle) and 60C (full load) with 100% fan speed, so you can do the math with the (very loud) stock cooler.",,
69,KeviinFrank,Reviewed in the United States on 16 January 2023,5,"Que puedo decir, muy buen procesador para el precio; bastante accesible.Recomendable.",,
70,Camilo Botero,Reviewed in the United States on 23 June 2022,5,"el producto esta perfecto, para mi gusto el disipador es poco potente por lo que decidí instalarle uno adicional, pero por el procesador como tal, muy bueno y eficiente.",,
71,danrbowers,Reviewed in the United States on 4 December 2022,5,Arrived in 3 days on a Sunday! Using it right now! Works great!,,
72,Ruben,Reviewed in the United States on 31 May 2021,5,"I was lucky to buy it at launch price to replace my ryzen 3100, I noticed a remarkable performance increase with my RX 5600 gaining a considerable amount ofFPS to play 1440p... so satisfied with it, It was paired with an Asus b560 plus with a 3600 cl16 ram, working perfect",,
73,ERLJR,Reviewed in the United States on 3 August 2022,5,I have built 5 systems with these chips. Excellent for office computers or mild online gaming,,
74,alyaa,Reviewed in the United States on 29 April 2022,5,This cpu is so cheap and when paired with a 3050 or 3060 it does bot bottleneck the system,,
75,Daniel,Reviewed in the United States on 25 May 2021,5,"por ahora me esta gustando mucho, llego casi un mes con el, y me da los resultados que esperaba de el e incluso mas, estoy muy satisfecho, lo único es que se calienta un poco así que si quieres que no se caliente mucho debes comprarle otro disipador.",,
76,Stockton,Reviewed in the United States on 3 April 2022,5,Works as expected and is more than enough for gaming and regular pc tasks. Great value for the performance and price.,,
77,Cesar,Reviewed in Mexico on 13 January 2023,5,"La compra la hice un día jueves y decía que llegaba entre 4 o 6 días, solo tardo un dia en llegar, todo bien con el procesador",,
78,Amazon Customer,Reviewed in the United States on 16 July 2022,5,Stays cool even while operating at 4.4Ghz 95W (around 60c - 65c). Very good value,,
79,Aldebaran B.,Reviewed in Mexico on 24 April 2023,5,Bueno para gaming juego a QHD A 165HZ estables con el,,
80,Gabriel Gonzalez,Reviewed in the United States on 4 January 2023,5,All good here,,
81,Mr Jorge Gomez,Reviewed in the United States on 5 April 2022,5,"Nada malo que comentar, llegó en perfecto estado 2 días antes de lo estimado a colombia Palmira.",,
82,John Zuluaga,Reviewed in the United States on 7 March 2022,5,The media could not be loaded.Calidad y precio el el mejor. Funciona muy bien en mi estación de edición,,
83,Angel,Reviewed in Mexico on 12 March 2023,5,Muy bueno el producto y llego en buen estado.,,
84,Carlos Ivan Dominguez ramos,Reviewed in Mexico on 25 January 2023,5,"Buena calidad y me quitaron el hambre con un pulparindo, más no se puede pedir.",,
85,Pedro Ernesto Manuel Gonzalez Jimenez,Reviewed in Mexico on 22 February 2023,5,excelente procesador para gamers trabaja al 100% los juegos en ULTRA,,
86,Chris Cahill-Dutiel,Reviewed in the United States on 22 March 2022,5,I mean it works great what else can I say?,,
87,Christopher M.,Reviewed in the United States on 3 September 2022,5,A+,,
88,Yonathan G.,Reviewed in the United States on 25 April 2022,5,Excelente producto y una excelente venta 100% recomendado.,,
89,Felipe,Reviewed in the United States on 8 May 2022,5,LLega a tiempo cumple con su rendimiento,,
90,german,Reviewed in Mexico on 30 March 2023,5,[object Object],,
91,Marlo,Reviewed in the United States on 10 May 2022,5,Good very good,,
92,Levi Gallardo,Reviewed in Mexico on 22 January 2023,5,excelente experiencia de jugo con este procesador y mi rtx3060,,
93,Andrew,Reviewed in the United States on 22 May 2021,5,"Wow cpus have gotten faster in the last decade :)Gear1 is a bit unstable, but gear 2 works!",,
94,Elexis Briceño,Reviewed in the United States on 26 February 2022,5,Buena relación precio rendimiento,,
95,Nicolas Vera,Reviewed in the United States on 29 April 2021,5,"This processor speaks by itself, it's just amazing, the performance is pretty decent. Highly recommended",,
96,Jesus Eduardo,Reviewed in Mexico on 21 December 2022,5,Muy buen procesador y llegó muy rápido,,
97,alfredo ochoa piña,Reviewed in Mexico on 1 December 2022,5,Excelente servicio llego en tiempo y forma,,
98,sanchez11292,Reviewed in the United States on 31 May 2021,5,"works perfectly, a big improvement upgrading from i5 8400",,
99,Tabs,Reviewed in the United States on 10 May 2021,5,Outclasses AMD's 5600 and cheaper as well,,
100,Bonais De Frijoles,Reviewed in Mexico on 17 June 2022,5,Envio rapido y vendedor confiable.,,
101,Placeholder,Reviewed in India on 30 June 2022,4,"Good processor, have a background check about who is selling you this.",,
102,Aditya parashar,Reviewed in India on 9 April 2023,4,"Yes, it is intel i5 11400F 2.65 base clock, processor comes with 6 core and 12 threads, boost clock speed is 4.40ghz. 8mb smart cache memory technology.",,
103,Drew Pearson,Reviewed in Canada on 18 April 2024,4,Works as it should.,,
104,NatalieJayne,Reviewed in Canada on 26 December 2023,4,Good buy,,
105,???,Reviewed in Japan on 17 November 2023,4,???????????????????CPU?CPU??????????????????????????????????CPU??????????????????40????????50???????????????????????????????,,
