No,Author,Date,Rating,Review,
15,Alessandro,Reviewed in Italy on 26 March 2024,5,"Processore davvero fenomenale, sbloccato e probabilmente in grado di fornire prestazioni ancora superiori.Tutto molto bello se non fosse che almeno in questo esemplare non c'è stato verso di far funzionare la prima corsia PciE 16X e quindi risultato è stato completamente inutile, sicuramente per il gaming. Ho provato su tre schede madri differenti, b760 e z690, in tutti i casi e settaggi del bios non è stato possibile utilizzare il primo slot.Mentre gli altri slot venivano utilizzati correttamente e, ad esempio, nel secondo slot pciE la scheda video veniva riconosciuta, ma finzionava solo a gen3 X8. Capirete però che usare una scheda video da magari 600€ a un quarto della sua potenzialità è inaccettabile.Ottima Amazon come sempre nell'effettuare il reso. Sfortuna, ogni tanto capita.",
16,stephanie steig,Reviewed in the United States on 23 May 2024,5,"I’ve played on this for maybe a week or two? This thing is serious good, ofc purse coming from a guy that used to play on a i3 3rd gen, this is a night and day difference. This thing can support a TONNN of tabs and runs anything stupid fast, would super recommend.",
17,Zixian,Reviewed in the United Kingdom on 1 September 2023,5,"Got it for £174 from Amazon US, which is about £65 cheaper than buying one in the UK. Even if you compare it with a 13400, which has a similar performance running at base clock, it is still so much cheaper (£46).If I remember correctly, the cpu does not come with a warranty, which is probably fine as CPUs are known to be very durable. So make sure you test it when you receivie it so you know if it's faulty.",
18,?????,Reviewed in Japan on 2 January 2024,5,??????????????(??????...??????)????????????????????????????????????????????D15S?17XX????????????????????????????????????????????????????????????????PC????????????????ASUSZ790-PD4CSM+i5-13600K??????????????????OC+?????R23?????(?)?PC???MB ASROCK Z690 PRO RS+CPU????+??? CFD DDR4 3200 16G×2+CPU????D15S???12????(???)???????????R23??????(??5G?)????65W*???120W*?????62????????????ASUS Z790+i5-13600K?? 23000*18000??? 18000*13000???????78*72???????????????????????????????????????????MB?????????PC????CPU??????????????????????????????????????????????11Pro.(??????)??????????????????13600K 47000???????78???36600??72??33840??????CP??????????31028????????????????????????????????????????????????????13600K??????????????????CPU?????????????????120???(93.97CFM)?????????????CPU???????????????2023/01/03 ??4k??????????????FHD????????,
19,Michel,Reviewed in France on 20 May 2022,5,"Bonjour,Ce processeur n'est pas le plus performant de la marque mais il tient le meilleur rapport qualité prix!",
20,Pelon666,Reviewed in Mexico on 27 February 2023,5,"Te va sobrado para tareas cotidianas, funciona para gaming y trabajos de diseño, no es lo mejor pero para el precio está excelente",
21,Ash,Reviewed in Canada on 30 January 2024,5,"We are so pleased with the results we are getting from this processor. My son recently built a gaming PC for his little sister. She mostly plays fortnight, minecraft, Hogwarts legacy etc and she plays on high settings while screen sharing in discord for the fam, and using OBS to record her gameplay no problem. We are very happy with the speed and temps we are getting from this i5. Glad we chose this affordable & reliable chip. Will probably upgrade in a few years when she’s playing more demanding games.",
22,Dhony,Reviewed in Japan on 8 January 2024,5,"Thanks for completing my build..Ps* please ignore the gtx1070 grandpa, I'm broke",
23,Amauri,Reviewed in Mexico on 22 January 2023,5,"Lo encontré con descuento y me pareció mejor relación calidad precio, fuera de eso es una buena compra",
24,Kyl,Reviewed in the United States on 14 April 2024,5,"Upgraded from an i7 8700 to this and its sooooo much faster! Def get a nicer DDR5 board so you can upgrade to an 14th gen when those drop down but, for now the 12600k is nice for my rx 7800xt",
25,Maru,Reviewed in Japan on 15 September 2023,5,"Good quality product.I received messages about the location of my goods, so I always knew where it was and how long it would take to arrive.The packaging is good, performance is good.",
26,CoolGuy,Reviewed in the United States on 24 June 2024,5,great cpu i bought it for 125 or 150 on black friday it was a steal. dont be fooled by the I5 at the start as long as its not an I3 the numbers that matter are the ones at the end for this one its 12600k that means its the 12 genaration of intel cpu's making it a great option,
27,Jordan F.,Reviewed in Canada on 4 May 2024,5,Does everything and Plays everything with a great clock speed for gaming before and after OC’ing,
28,Amazon Customer,Reviewed in the United States on 13 May 2024,5,"The 12600K CPU has been an outstanding upgrade from my previous setup, delivering a remarkable boost in performance. I've been particularly impressed by its cool operation, maintaining a stable 64 degrees even during rigorous stress tests and extended gaming sessions. The CPU comfortably reaches 5.1 GHz without any stability issues, and it seems there's still plenty of room for further overclocking if needed. If you're looking for a CPU that offers solid performance, low heat, and great value, the 12600K is a fantastic choice. Highly recommended for both gaming and general productivity!",
29,Jean-Sebastien Levesque,Reviewed in Canada on 24 March 2024,5,Very good CPU. Paired with 7800XT and everything runs cool. Dont forget to buy a cpu cooler with thermal paste and your good to go,
30,?????,Reviewed in Japan on 13 May 2023,5,warukunai,
31,Not Shane Lol,Reviewed in Canada on 28 January 2024,5,"I'm coming from a 2nd Gen i5 to this so needless to say anything is better in comparison. However, in application this chip manages to perform extremely well, changing former PowerPoints into actual playable games.",
32,Feng lin,Reviewed in the United States on 19 May 2024,5,"ble operation, first class product.",
33,?????,Reviewed in Japan on 31 January 2023,5,???????????????????????????????????????????????????????????????????????…,
34,????,Reviewed in Japan on 24 January 2023,5,??????????????,
35,Manny,Reviewed in the United States on 27 April 2024,5,"Despite of being an older generation it can play any game you put in front of it. Great deal, 100% worth it.",
36,Eric Lefebvre,Reviewed in Canada on 5 March 2024,5,"for the price, you cant get better. it completely changed my gaming experience. Absolutely recommend",
37,Amazon ?????,Reviewed in Japan on 9 October 2022,5,?????????,
38,Kevin,Reviewed in the United States on 17 December 2023,5,"Purchased for $150 for Cyber Monday 2023 and it's been excellent. In Cyberpunk 2077, with Ray Tracing on and a mix of ultra/high settings, I've reached 60-120 FPS (usually hovering between 70-90) with a Gigabyte Eagle 4060. I've hit 500+ FPS in League of Legends, and with V-Sync on, I've had no noticeable drop from 165 FPS. On sale, this is an excellent processor and an INCREDIBLE upgrade from my previous 9400f which was and still is a very capable processor. Temps are very stable with a Peerless Assassin cooler; I don't believe I've reached or exceeded 60 degrees Celsius. I haven't overclocked yet - if I even will, because current performance is excellent - but I've read that this processor overclocks a fair amount.",
39,Nicolas,Reviewed in the United States on 9 May 2024,5,"Perú (Español)Si tienes dudas de comprar a través de Amazon, puedo asegurarte que es 100% confiable.Los procesos de compra son fáciles y totalmente seguros. El sistema de reastreo que brindan es muy completo y sobretodo las entregas son puntuales.Yo compré un procesador Intel Core i5-12600K, y sin embargo por error de Amazon, recibí un Intel Core i5-14700KF. Obviamente es un producto muchísimo mejor y más costoso.Llegó totalmente sellado, bien empaquetado y mucho antes de lo esperado.Perú (English)I bought an Intel Core i5-12600K processor and for some Amazon mistake I ended receiving an Intel Core i5-14600KF. A huge mistake from them but, oh well, Im enjoying it so far.Couldn't returned it because it was going to take me so much time and cost me even more.Totally recomended for videogames, streaming and of course any kind of desingning and photo jobs.",
40,Andres Grisales,Reviewed in the United States on 15 June 2024,5,Es un procesador espectacular!! El precio es muy bajo para todas las prestaciones y la potencia que tiene.,
41,Daniela Gomez Patiño,Reviewed in the United States on 18 June 2024,5,intel pocas veces desepciona muy buen producto,
42,WillBER,Reviewed in the United States on 10 May 2024,5,"vi muchas reviews antes de decidirme por este procesador, y si lo vez a un precio atractivo para ti no dudes, el tiempo de entrega fue el indicado sin problemas, y el rendimiento se supone esta un poco por encima del 7600x, pero ya hare mis propias pruebas cuando me llegue el disipador, para terminar de armar mi pc",
43,Amazon Customer,Reviewed in the United States on 5 June 2024,5,Bien precio valor,
44,MARFFYAYA,Reviewed in the United States on 29 April 2024,5,got this a few months back for a sale price I have yet to see repeated anywhere.I can't believe the step up from my 9600k that I have 17% overclocked and this one I have not overclocked yet.,
45,Cliente de Kindle,Reviewed in the United States on 25 May 2024,5,Excelente,
46,james,Reviewed in the United States on 15 April 2024,5,"Bought this for my second computer, and can say it is the budget king at the moment. It does not overclock very well though compared to a 13600k. I tested this CPU with a 3080, and 4080 and can say it gets the job done, but at 1080p I saw bottlenecking with both graphics cards.",
47,Sho'Nuff,Reviewed in the United States on 12 November 2023,5,"Decided to finally upgrade from my 6 or 7 year old Asus X99 platform and 980ti sli (yes that old) to an Asus Tuf Z790/12600k/Tuf 4080 OC gamers edition. My old 5820k was creating a HUGE bottleneck issue for my GPU, which I installed about a month prior. What a difference I must say. Now that I'm finally out of the stone age, I'm in awe as to how much things have changed in the PC gaming world. This current build smokes everything I throw at it so far. Which admittedly has only been a few games and benchmarks. I paired the processor and GPU with water blocks from an AIO Corsair system for my CPU, and a separate Granzon custom loop for the GPU. All I can say is wow. Fast boot times, 150 plus fps in some games like The Division 2 with medium settings at 1440p. I HIGHLY RECOMMEND this processor/Z790 motherboard/GPU combo. Are there better options for better performance or there? Absolutely. But for the money, I believe that the average gamer would be hard pressed to find any significant issues with that platform. I was skeptical at first, as this is the first I5 processor I ever purchased for a PC, but as I stated previously, I am quite satisfied with my decision to take a leap of faith. Again, I highly recommend this processor. Can't beat the performance at this price point with a stick.",
48,Carlos,Reviewed in the United States on 3 October 2023,5,"El procesador Intel Core i5-12600K ha superado todas mis expectativas y ha llevado mi experiencia informática a un nuevo nivel. Como un entusiasta de la tecnología, siempre estoy ansioso por probar las últimas y mejores piezas de hardware, y este chip no me ha decepcionado en absoluto.El rendimiento de esta CPU es simplemente impresionante. Con sus 10 núcleos y 16 hilos, es capaz de manejar las tareas más exigentes con facilidad. Ya sea jugando a juegos de última generación, editando videos en 4K o realizando tareas de productividad intensivas, el i5-12600K demuestra un rendimiento suave y rápido en cada situación.La tecnología Intel Thread Director es un gran avance, ya que mejora la administración de hilos y la eficiencia energética, lo que se traduce en un mejor rendimiento en aplicaciones multi-hilo y una menor temperatura de funcionamiento. Además, el soporte para DDR5 RAM agrega un impulso adicional a la velocidad y la capacidad de respuesta del sistema.El overclocking es una delicia con este procesador. Con un multiplicador desbloqueado y una gestión térmica eficiente, pude aumentar fácilmente la velocidad de reloj y obtener un rendimiento aún mejor. Esto es un sueño hecho realidad para los entusiastas que buscan exprimir cada gota de rendimiento de su sistema.En resumen, el Intel Core i5-12600K es una bestia de rendimiento que ofrece una experiencia de usuario excepcional. Si buscas un procesador de última generación para juegos, creación de contenido o cualquier tarea exigente, esta CPU es una elección sobresaliente. Estoy encantado con su rendimiento y no puedo esperar para ver lo que puedo lograr con él en el futuro. ¡Altamente recomendado!",
49,José Alejandro Silva R.,Reviewed in the United States on 15 April 2024,5,This little beast is on par with new Ryzen 7700X and can handle all games 144 FPS if you pair it with a 4080. Hands down best CPU on 2022 and still rocking on 2023-2024,
50,EJ_Mandigo-McLeod,Reviewed in the United States on 21 December 2023,5,"This processor with the rebuild of our desktop build has been very loyal and powerful. Mixed with a DeepCool AK620 and non overclocked I finally figure out the formula too achieve 4K ultra Gaming on most games that I play on a regular basis. I play numerous of strategy games but I do also play Grand Theft Auto (as an escape...) American truck simulator as of late and Roblox. The processing performance has been excellent. I hope that one day I can overclock one of these processors without having to worry about frequencies and voltages. Basically said it's it's 12th generation processor and that's been recent in the past two to three years. It is on the mid-range of the spectrum for Intel i5, but really just seems to automate on its own and it actively will try to lower utilization numbers once it's processed what it has to process. I can go through a hundred tabs an hour and not have to worry about internal latency. It's good",
51,J. Rosberg,Reviewed in the United States on 24 April 2024,5,I have never had an issue with an intel processor in 30 years so I'm going to keep buying them.,
52,Alain Esteban,Reviewed in the United States on 16 February 2024,5,"Excelente opcion para juegos, hice un update desde un i3 12100f y la diferencia es extrema, puedo jugar los titulos mas modernos en configuraciones de graficos maximos y sin embargo no se utiliza mas del 60% del procesador, lo uso en conjunto con un disipador vetroo v5 y las temperaturas maximas que tengo son de 56 grados en juegos demandantes.Justo como dice la descripcion no incluye disipador de stock, sin embargo es necesario adquirir un disipador mejor que el de stock de intel, sobre todo si planeas realizar overclock.En resumen, es de las mejores opciones para juegos y uso general.",
53,TechnoFreezer,Reviewed in the United States on 22 March 2024,5,"Went right into the LGA1700 chip socket with no muss, no fuss.Booted right up and the new motherboard took to it like it was designed for it -- which it was.I needed the K with the integrated graphics and that's what I got.I'm using the Zalman cooler (https://www.amazon.com/dp/B0CCT11BXV?psc=1&ref=ppx_yo2ov_dt_b_product_details) and I haven't had any issues yet.",
54,Franklin Aguirre Ortiz,Reviewed in the United States on 26 January 2024,5,"este procesador es magnifico, una calidad, mueve todo el multitarea, sus gráficos integrados son magníficos, mueve fornite en gráficos medios todo en alto a 60-120 fps, no es incomodo jugar con el algunos juegos, te aguanta bastante, llevo varias pruebas de estrés, se llevo 5 días haciendo cálculos de seguido a veces con el procesador al 100, no me ha fallado, excelente producto, solo recordar que viene sin el disipador de stock y que les recomiendo ponerle un disipador de torre(un noctua, aerocool, thermaltake o deepcool), es mas que suficiente, nunca me ha subido de los 65 grados, una belleza completa",
55,ivan chaves,Reviewed in the United States on 13 April 2024,5,Ya llevo mucho tiempo con el producto y hasta el momento ni una falla,
56,Jesus ferrera,Reviewed in the United States on 18 April 2024,5,this article is very useful,
57,Daddy,Reviewed in the United States on 24 December 2023,5,"Bought for a Mini-ITX Build for my daughter when it was on sale for $149.99, felt like a nice value for Q4 2023.Didn't overclock this one, but could as it runs at just 48 degrees Celsius under load from Cinebench R23 with the (just-barely-fits-in-the-case) ThermalRight Peerless Assassin 120 SE ARBG.Side note: for anybody building a PC, that Peerless Assassin is the CPU air cooling champion at ~$40.This 12600k processor is more power hungry than some of it's AMD competitors, but having recently purchased an AMD 7800x3d for my own computer that's requiring a bit more work to optimize and get running properly, this 12600k was perfect.Intel stuff in my experience just tends to run good.",
58,Amazon Customer,Reviewed in the United States on 12 April 2024,5,good price,
59,Ivan,Reviewed in the United States on 30 March 2024,5,Very good for a good price but there are better options forn less money,
60,Mariah,Reviewed in the United States on 3 April 2024,5,Works good and temps don’t get too high,
61,Itamar S.,Reviewed in the United States on 30 March 2024,5,Assembled my PC and it's working great. Just as expected.,
62,essamfathey2007,Reviewed in the United States on 1 April 2024,5,It arrived in time and works great,
63,Henry Saavedra,Reviewed in the United States on 1 April 2024,5,"Gran procesador, equipo operando bien y excelente",
64,Ken Wilson,Reviewed in Canada on 7 March 2024,5,"Not going to fan boi or tell you to pick on over the other.Current Ryzen 5 or I5 are going to give you what you need if your just looking for a solid but affordable gaming cpu.I went with the one that had the least investment required which just happened to be the i5 12600k.Already had a solid set of 4x8 cl14 3600mhz and 7000 series amd would have required ddr5, and set me back an additional 150$.Only reason I went intel over amd. Not ads, not influencers just boiled down to $",
65,FiddleSt6x,Reviewed in Canada on 30 December 2023,5,This cpu is probably one of the best bangs for the buck at 200$compared to others of similar quality I know cuz I bought a r5 7600 a year ago back for 300$ not the point this cpu replaced an i5 8400 I originally upgraded the gpu from a 1060 6gb to a 1660 super and only got a a few fps increase the reason being while games were starting it would bottom out at 10fps before returning to normal we were than at the time before cpu upgrade bottoming out at 13fps now after upgrading cpu I noticed the fps is now 27fps at its lowest while I understand most gamers would do anything for a single fps I just don't feel the end result is as great as I was hoping however my goal was reached by increasing the minimum fps also has overclocking capability but have not tried to play with any of that as of writing this nor am I comfortable with doing so,
66,Koki,Reviewed in the United States on 6 January 2024,5,"I bought this the 12600k together with Arc A750 for new PC build. The mainboard I use is Asus Prime B660m-a wifi d4. I tested the CPU with cinebench, it was using 125 watts, the temperature was 70c with single tower cooler and no extra fans and also the mainboard was cool. I'm using this PC for video games and I like the 12600k so far.",
67,Chicken Little,Reviewed in the United States on 29 February 2024,5,"System posted and my temps are staying low while overclocked. Everything has been stable so far, gaming and home use shouldn't be a problem at all ????",
68,Ryan Gallagher,Reviewed in the United States on 5 February 2024,5,"A good product doesn't need an explanation. I have always trusted this store and every purchase is without any problems. This Intel core is really user-friendly, it won't make my computer overheat, and the storage space is also very sufficient",
69,David Ramos,Reviewed in the United States on 28 March 2024,5,I like it.,
70,D4D,Reviewed in the United States on 3 November 2023,5,"I used this CPU in a recent build for a secondarycomputer that I will game on at a secondary residence. It performs very well even in demanding flight simulation applications. The onboard video is a nice feature to have if you remove the video GPU to swap it out , etc and you still have the ability to enter the UEFI/BIOS, Windows 10/11, etc. The K suffix denotes that the CPU can be slightly overclocked if you wish to do that. Good price on a great 12th gen Intel CPU. Works great when paired with both my Nvidia and AMD GPU's. No compatibility issues have arisen.",
71,barathi,Reviewed in India on 17 June 2024,4,didn't come with a fan,
72,Victor C.,Reviewed in Mexico on 25 April 2024,4,Quizá fue mi culpa No leí bien pero viene sin disipador.,
73,Ainna1,Reviewed in France on 11 August 2023,4,"Seul soucis, il manquela pate thermique j'ai dû aller l'acheter dans une boutique.Sinon c'est nickel.",
74,ZIMMER,Reviewed in Mexico on 4 September 2023,4,"En general es un buen producto pero su manejo de temperaturas no me gusta, por un lado puedes tener un núcleo a 50°c mientras otro está a 34°c y otro a 29°c y tener saltos ""raros"" desde igual 29 a 45°c; y eso descontrola un poco el manejo del ventidador del disipador; esto es usando una motherboard nueva gigabyte B760m ds3h AX y refrigeración líquida Corsair Hydro H60, vengo de usar un AMD FX 8350 (que se calentaba mucho y por eso me acostumbre a la refrigeración líquida y con ese FX siempre tenía temperaturas en repodo de unos 25°c sin saltos raros y con el mismo H60 y TDP de 125W), cabe destacar que sabiendo del problema de pandeo que tiene esta serie (LGA 1700) he instalado desde el principio una placa de presion termalright para que ese problema no ocurra; hasta ahora todo funciona bien nunca ha pasado de los 60°c pero esos saltos de temperatura en diferentes partes del procesador siguen sin gustarme.",
75,J.H,Reviewed in Canada on 9 June 2024,4,"Works fine , thought ever cpu came with a cooler but I guess I was mistaken , was rattling around in the box but it works fine no damage",
76,Hoby,Reviewed in the United States on 20 December 2023,4,"As long as you dont pay full retail for this, buy it up.",
77,Cavein69,Reviewed in Canada on 2 March 2024,4,"Good cpu,alittle on the hot side",
78,Kerwin,Reviewed in Canada on 13 February 2024,4,It working,
79,S A,Reviewed in the United States on 23 July 2023,4,"It’s kept cool and quiet with a medium radiator, got lots of cores and overclocks nicely. It’ll cover all bases you need and keep up alright with pretty much every graphics card out there. Keep in mind it needs windows 11’s task scheduler to make use of the new core architecture.",
80,David L Crockett,Reviewed in the United States on 23 September 2023,4,Installation was made difficult by not clearly seeing pin 1 on device and pin 1 on covered socket.,
81,Bill G,Reviewed in Canada on 27 January 2024,4,Will up my gaming experience,
82,Craigc,Reviewed in the United States on 18 May 2023,4,Good performing chip on my secondary Z690 system. Performance is as expected. This is a nice I5 12600k which performs better than some of the 13th gen I5s at a better price. Works on wither Z690 or Z790 Motherboards.,
83,A. Weir,Reviewed in the United States on 1 August 2022,4,This CPU is one of the most best for gaming. It has plenty of cores to handle gaming and to mutitask. I went with the 12600k over AMD's 5600X because the price was cheaper and this CPU is also faster in single threaded workloads. 6 performance cores plus 4 efficiency cores will be plenty for gaming and moderare workloads for years to come. It also runs fairly cool with a Thermalright Peerless Assassin 120 cpu cooler.,
84,Bazt,Reviewed in the United States on 6 August 2023,4,Llegó bien funciona,
85,Occasional Reviewer,Reviewed in the United States on 23 September 2022,4,"I am upgrading from a 8700k so this chip isn't that big of an upgrade for me. It's fast, does what I need it to do. Out of the box no issues, no bent pins. CPU started up no issues",
86,Amazon customer,Reviewed in the United States on 16 October 2022,4,Great processor. Packaged poorly. Came laying loose in the box. Decided to use it any way. It works but for the money should have been packed better.,
87,DangerDeen,Reviewed in Singapore on 19 April 2024,3,"Although cpu box was sealed, package was dented and fractured. Yet to install the cpu",
88,AndyL,Reviewed in the United Kingdom on 27 August 2023,3,"Fast and effective processor.Was delivered by DPD who jammed this through the letterbox, crushing the packaging.It was unclear whether this was damaged until it was fitted. Fortunately it worked.This was purchased as part of a custom Games PC build.Other delivery companies were OK, Amazon left stuff on the doorstep as per usual.Royal Mail were excellent, seeing if anyone was in, or hiding the product and leaving a note of the location.",
89,Dante,Reviewed in Mexico on 3 September 2023,3,"No pregunté si traía ventilador y después revisando la publicación ví que no viene especificado en ningún lado, para tomar en cuenta antes de armar tu PC. Saludos",
90,Aquarius,Reviewed in Canada on 20 November 2023,3,"It's a powerful chip that suits 99% of the population... hard gamers included!The Intel Unlocked 10-core Gen 12th is sufficient enough for most needs... intel graphics is on-board too!The only drawback for me is that i bought it 299$ a month ago! It now sells for 214$. So, you save 85$ more! Get it while you still can!",
91,Sang Kim,Reviewed in the United States on 12 April 2023,3,Bought the i5 because it was on sale and unfortunately I could not get the system to boot. I made sure to update the bios on my motherboard and did the usual trouble shooting with various components. It was difficult to try to talk with tech support from Gigabyte but after troubleshooting and going back and forth for about a week and a half we had zero success. Ordered an i7 from Amazon and everything works very well I’m happy to say. 12th Gen intel CPU’s are a great bargin!,
92,Nolo,Reviewed in the United States on 29 October 2023,3,it has more cores which helps in some games but the lack of cache is killing it,
93,Ronald T. baker,Reviewed in the United States on 13 November 2021,3,"UserBenchmark favors intel for some reason.They would have you believe the 12600k is around 20% better than the 5600x, but watch CPU reviews on Youtube and you'll see individual gaming benchmarks puts them at the same performance but with the 5600x using half the power consumption.Additionally, the motherboards for the 12600k can cost over twice as much as that of the 5600x ones.It basically just makes more sense to go with the 5600x at the time of this review, because both CPUs are the same price of $300.The 12600k is not a bad CPU, it's just that the 5600x is considerably more affordable and efficient for the same performance as the 12600k.",
94,Kerry,Reviewed in the United States on 29 January 2022,3,"I am grading the main heading at the top of the page that does not let the consumer know a cooler is not included.Would have been nice to know this before purchasing, and now I wait for a cooler.The information is included under Q and A.",
95,Matthew Taylor,Reviewed in the United States on 20 November 2022,3,"Great product, but kept getting delayed in shipping. Postponed my PC build by nearly a week because it was the last part to arrive.",
96,DiscoDuck49,Reviewed in the United States on 15 March 2022,3,"Its a great CPU.The packaging by Amazon, in shipping it, is awful.Nothing like getting a squashed CPU box, and hoping that it works.Bad job, Amazon",
97,rscott521,Reviewed in the United States on 27 June 2022,3,"This is a great CPU and I give it 5 stars. I'm sorry Amazon, you just don't ever ship a processor in a bag!",
98,kenji_rinkus,Reviewed in Japan on 5 February 2022,3,??????????????????????????????????????????????????????????????????????????????????????????????CPU????????????????????????????????????????????????CPU?????????????????????????????????????????CPU????????????????????,
99,Akshit Tiwari,Reviewed in India on 30 September 2022,2,Find Different Stores And Buy This At 25000INR i7 costs 34000Inr Better Find Different Store And Processor Is Really Good,
100,Client d'Amazon,Reviewed in France on 15 September 2023,2,"Bon super pour le Prix, mais vendu comme Box, donc sous entendu avec ventirad...ce qui n'est pas le cas!",
101,Joshua J. Dixon,Reviewed in the United States on 11 August 2022,2,"I purchased this processor and was happy with it until I stumbled upon a youtube video that proclaimed that most memory doesn't run at it's max speed. My DDR5 memory did just that - it ran at 4000 instead of it's 5200 (and it is certified to run on this processor). In my motherboard's BIOS, I adjusted the memory to run at 5200 with XMP-1 (an ASUS setting). It crashed a lot, so I tried their XMP-2 setting and everything froze up. Next thing I knew, nothing worked! I bought new memory, a new motherboard and eventually a new processor. When I found out this processor was the part that went bad (and it has a 3 year warranty), I submitted a ticket to Intel and they concluded that I ""overclocked"" the processor by pushing the memory to 5200 and they sent me to their webpage that specified this processor has a 4800 limit. Since then, I looked at every page before the one they sent me and none of them said anything about the 4800 memory speed limit.If setting memory speed a little over 4800 will fry your processor, shouldn't there be warnings everywhere and in every step of your tweaking? I now have a fried processor sitting on my desk and who is to blame? Is it me for trying to get the best performance out of my hardware and never seeing any warnings about this? Or maybe for Intel for their XMP standard that doesn't give you any warnings - especially since this is their standard that they created.I give this processor 2 stars - 5 for performance, but 0 for getting my fried processor and blaming me for ignorance of technicalities that are not upfront and lack of a warning system that they could have and should have implemented to prevent such catastrophes.",
